,,,,
"Interviewed at Mwiba Ranch, Makao on Nov 22, 2014 by ",,,,
"Dismas Partalala Meitaya, Daudi Peterson, Bunga, J. Woodburn",,,"Bunga, James Woodburn",
,,,,
No.,English,Daudi,Dismas,Bunga
1,me,oyanda pa,oyandapa,hoyandaba
2,you,hopande,opandei,hobandei
3,he,enya,einya,enya
4,we,mainyake,mainyake,mayinyaki
5,you pl.,ma'engake,maengake,maengaki
7,this,kweesh,keweesh,gweshi
8,that,ona,ohona,
9,here,one,one,
10,there,ona,onona,
11,who,hang'akine,angakine,angakine
12,what,kwiyano,kuyiaano,kwiyano
13,where,osesa,osesa,osesa
14,when,kaibaka,kaebaka,kaebaga
15,how,ko'eraki,koeraki,kwetaki
16,not,ndahoha'ina,ndashohoena,ndahohwaena
17,all,ndahomaata,ndaho'omata,ndahomata
18,many,akanyaga,akanyaga,aganyaga
19,some,oriakee,oriakee,olyakee
21,other,kunyar ta,kurnyata,kunyata
22,one,kueshenya,kueshenya,kuweshenya
23,two,ngakeet,ngakeet,ngaket
24,three,ma'imo,maimo,maimo
25,four,ndaharimo,ndaarimo,ndahalimo
28,long,ndashokula,ndahokolaa,ndahekola
29,wide,maiguti,maigutie,maigutie
30,thick,makenet,makenet,makeneti
31,heavy,kaiyaka,kayaka,kayaka
32,small,maimaiyo,maimaiyio,maimayo
33,short,makunyai,makunyiaye,makunyai
35,thin,makesaya,makesaya,makesaya
36,woman,alasaka,alasaka,alasaka
38,human being,kai no,kaino,kaino
39,child,neng'oi,neng'oyi,neng'oi
40,wife,alasaka,alasaka,alasaka
41,husband,payasita,payiasta,ayasita
42,mother,maiyo,maayio,amayu
,,,,
Na.,English,Daudi,Dismas,Bunga
44,animal,ndahohoroma,nda'o'oroma,ndahehoroma
46,bird small,ketamarambero,ketamarambero,
46,bird large,sukerimberi,sukerimberi,
49,snake,kwerita,kuerita,kwerita
51,tree,moloita,moloita,moroita
52,forest,orkaka,orkaka,orokaka
53,stick (walking),emudi (Maa),emudi,engudi
54,fruit/berry,ngaileshi,ngaileeshi,ngaireshi
56,leaf,esawarka,esewarker,
57,root,harioo,arioho,airiyo
58,bark - tree,si'ra're,sirare,siari
61,rope,loota,loota,rota
62,skin,alemusha,alemusha,
63,meat,mapianda,mapianda,marianda
64,blood,tamweka,tang'weka,daagweka
65,bone,moge,mooge,moge
66,fat,ndarikoi,endarikoi,endarikwai
67,egg,orketumbe,orketumbe,engotumbe
69,tail,leng'wata,leng'wata,eremwata
71,hair,maisamba,maeshamba,maesamba
72,head,ndokweasa,ndokoyata,ngogweyata
73,ear,koning'aha,koning'aha,goneng'aha
74,eye,honda,o'nda,honda
75,nose,metunda,metunda,metunda
76,mouth,ota,ota,ota
77,tooth,haruwata,arwata,aruwata
78,tongue,wa'itamu,waitamu,waetamo
79,fingernail,omenyo,omenyo,omenyo
81,leg,helta,elta,herita
83,hand,panaita,panaita,fanaita
85,belly,kelepta,keleputa,kereta
86,guts,engitamariko,engetamariko,engetamariko
87,neck,sokopeta,sokopeta,sogobeda
88,back,ta'no,taano,taano
89,breast,ufanaa,ufana,ofana
90,heart,maipok,maepok,maiboko
93,to eat,kaitwa,kaitwa,kaitwa
94,to bite,mairuaka,mairwaka,mairuaka
95,to suck,mainyonya (Swa),mainyonya,
96,to spit,haroma,aroma,
,,,,
Na.,English,Daudi,Dismas,Bunga
97,to vomit,ngainyaga,ngainyaga,
102,to hear,kupande,kupandei,kupandei
103,to know,uhaitaka,uhaitaka,kuhaitaka
110,to kill,uteri,uteri,uteli
111,to fight,orkitita,orkitita,urikeriteta
112,to hunt,olehutai,oleutai,ulehutai
113,to hit,kirrtita,kirtita,getita
114,to cut,mwambirita,mambirita,mambirita
116,to stab,hapiri,apiri,hapili
121,to walk,neten,ng'eten,neten
122,to come,kaitwa,kaitwa,gaitwa
126,to turn,mainyage,mainyake,
127,to fall,osisiro,osisiro,
128,to give,anainyaka,anainyiaka,
130,to squeeze,angamutu,ngamutu,ngamutu
131,to rub,arang'an,rang'aan,arang'ani
134,to pull,kururianda,kururianda,hurianda
136,to throw,hopirita,opirita,hobilita
138,to sew,kalemisha,kalemusha,ngaremshai
140,to say,homuhi,omahii,homahii
141,to sing,horokokinyenehanda,orkokinyienehanda,hologoginyenehanda
147,sun,onaisa,onaisa,
148,moon,ohoa'halamu,ooha alamu,hohowa'aram
149,star,morora,morora,
150,water,peeka,peika,
152,river,helata,ilata,
153,lake,hailugo,ailugo,
160,cloud,ketajewu,kitajewo,geradewo
163,wind,nyorota,nyorota,nyorota
167,fire,mata,mata,
168,ash,narek,narek,nareki
170,road - path,rang'an,rang'aan,rangan
171,mountain,oroveta,oropeta,horogata
174,yellow,enoka,enoka,enoka
177,night,ong'eresha,ong'eresha,ong'eresha
179,year,ormitindu,ormitindu,holimitundu
181,cold,onyerta,ornyeta,kon'nyerita
182,full,ashang'a,ashang'a,ashang'a
185,good,iringiso,iringiso,iringiso
186,bad,urshalat,orshalat,goshaata
,,,,
Na.,Engilsh,Daudi,Dismas,Bunga
188,dirty,torigiso,torikiso,torigiso
190,round,magindu,makindu,makindu
194,wet,haruguta,aruguta,
195,dry,nakaushi,nakaushe,nagawisho
197,near,onyarta,ornyata,
198,far,mamirita,mamirita,
199,right,ohaihariko,ohaeariko,hohaiharigo
200,left,ngaiyanda,ngayianda,ngayanda
202,in,mainyaki,mainyiake,mainyagi
207,name,horarika,orarika,horarika
